,,,,
,,,,
,The Infinite Light and the Beautiful Reality,IamAaron'sRationale,Mushrooms,Aug 23 2012
,The Shuttle to Oblivion,Mango-Z,DMT,Jun 22 2012
,Time in the Tank,Mink Snopes,Floatation Tank,Jun 18 2012
,Love and Blow,Zing,Cocaine,May 19 2012
,This is What I Was Looking For,Koolumb,25I-NBOMe & Cannabis,May 19 2012
,Life is Too Short,Kapitan,TMA-2,Apr 18 2012
,One Beautiful Hit,WaterBongs,DMT,Apr 11 2012
,So Sure I Could Handle It,DeWitt,LSD,Apr 10 2012
,Formosahuasca,mindbody,Acacia confusa (root bark) & Syrian Rue,Apr 5 2012
,A Retrospective View,J. Bingo,25I-NBOMe,Mar 5 2012
,Two Experiments,sakithin,2C-T-2 & Cannabis,Feb 7 2012
,The God Inside,Karcinogenious,25C-NBOMe & 4-AcO-DMT,Feb 6 2012
,Emotive Purging,DJ,Mimosa hostilis & Banisteriopsis Caapi,Jan 31 2012
,Dynamic Duo,CosmicCharlie,Kratom & Cannabis,Jan 27 2012
,After the Initial Tsunami Wave,Murple,"BDB, Methylone & DPT",Jan 26 2012
,Insight Meditation as a Cure to Life,fruition,Meditation,Jan 25 2012
,Searching for Samadhi in West Philadelphia,"B-E-H, inc.","LSD, MDMA (Ecstacy) & Alcohol",Jan 7 2012
,Something People Say to Scare You...,Awakening Everything,LSD,Jan 6 2012
,Plasma and Smooth Metal,Radium,3-MeO-PCP,Jan 3 2012
,Sally Knows Best,Boogeyman,Salvia divinorum (20x extract),Dec 4 2011
,To be Taken back to Childhood,Trameldacom,Salvia Divinorum (20X),Dec 2 2011
,Hang On to your Ego,mundane,San Pedro & Cannabis,Dec 1 2011
,Joyous Union,MindLens,"LSD, Nitrous Oxide, Cannabis & Diazepam",Nov 30 2011
,"Dynamic Range,  Psychic Awakening",m,25I-NBOMe,Nov 29 2011
,A Journey Inside My Own Subconscious,EMc,Ketamine,Nov 27 2011
,Bigger than God,white birch,MDA & Magic Mushrooms,Nov 26 2011
,Taste of Ancientness aka The Future,quantagy,Mimosa Hostilis & Syrian Rue,Nov 26 2011
,A Trip with Dante,FromMississippi,Mushrooms - P. cubensis,Nov 26 2011
,Amazing First-time Experience in the K-hole,Phaeton,Ketamine,Nov 26 2011
,Flatland,rvpigeon,Salvia Divinorum,Nov 26 2011
,The Reality from Behind Closed Eyelids,Mount Analogue,Melatonin,Nov 19 2011
,Drug-Induced Limbo,sunny,Heroin,Nov 19 2011
,A 1914 Case of Mushroom Intoxication,A. E. Verrill,Psilocybin-containing Mushrooms,Nov 17 2011
,All Roads Lead to the Same Dead End,Nate,Heroin & Oxycodone,Nov 11 2011
,What are Pants?,Hypersphere,Mushrooms (Magic Mushrooms),Oct 29 2011
,The I of the Storm,Keith Fonda,Mushrooms & Cannabis,Oct 15 2011
,Level by Level,FritzTheCat,25C-NBOMe & DMT,Oct 7 2011
,Turned Inside-Out,Ivanankuvinich,Mescaline & LSD,Sep 28 2011
,An Ethnological Retrospective,Foolish Freshman,Pseudoephedrine,Sep 22 2011
,Toking Again After 25 Years,zogdreamer/kat,Cannabis,Sep 5 2011
,Overall Effect Is Very Pleasant,Alexander Shulgin,Mescaline & Cyclizine,Aug 11 2011
,Powerful,Scissors,5-MeO-DMT,Aug 4 2011
,Giving God My Total Attention,Zeke Ralston,Psilocybin,Aug 3 2011
,The Night I Saw the Stars Dance,Shannon A,Peyote,Aug 1 2011
,Riding into Unconsciousness,clippy,Propofol,Aug 1 2011
,How to Make Lotus Beer,Hypersphere,Nymphaea nouchali var caerulea & Alcohol,Jul 21 2011
,Two Years of Addiction,Aqua Dementia,GBL,Jun 28 2011
,Cebil Evolution,Hypersphere,Anadenanthera colubrina var. cebil seeds,Jun 24 2011
,The Din of Celestial Birds,Ithica,Ayahuasca,Jun 21 2011
,Van-Goghian Masterpiece,Dondante,25C-NBOMe,Jun 9 2011
,Too Much too Fast - Insufflation vs Sublingual,Jack M,25C-NBOMe,Jun 9 2011
,Horrible Night Eye-Opening Ending,DGK,Products - Spice and Synthetic Cannabinoids ('K2'),Jun 3 2011
,Neon Static: A Night I Won't Soon Forget,chancetwister,JWH-018,Jun 2 2011
,Jedi Mind Tricks,Ben Kenobi,"LSD, Mushrooms, Cannabis & MDMA (Ecstasy)",May 18 2011
,The Full Ride,GewaltHaber,MDPV,May 12 2011
,Vulnerable and Confused,GWs Fruit Tree,2C-I,Mar 17 2011
,The End of the Universe,Rlc,Salvia divinorum (35x extract),Mar 15 2011
,Bizarre Transcendence,Lucifer Sam,Salvia divinorum (80x extract) & Various,Mar 15 2011
,Endsearch,PLU,LSD,Mar 11 2011
,There is No Why,Cosmic Muser,LSD & Cannabis,Mar 11 2011
,Gremlins Grin,Cynosure,Morning Glory (Organic Heavenly Blue),Mar 5 2011
,A Trip Through Hell,atrocitic,Amanitas - A. muscaria,Mar 2 2011
,Growing Up,Pandora Spice,Tabernanthe iboga (rootbark),Mar 1 2011
,Once I Had Made Up My Mind,Mr. Mackey,5-MeO-DMT,Feb 21 2011
,Variable Body Load,Hypersphere,2C-T-2,Feb 18 2011
,Formula for Therapeutic Heal,memoria,LSD & Yoga,Feb 17 2011
,Overwhelmingly Intense Experience,sir_jeans,Cacti - T. bridgesii,Feb 9 2011
,Quite Visual with a Significant Moodlift,Azgaza,"2C-B, Ketamine & Hash",Feb 5 2011
,A Warning on Unpredictability,Lillys Dolphin,2C-I,Jan 28 2011
,Rendered Eternal,I AM,Mushrooms & Cannabis,Jan 17 2011
,A Smooth Ride - But Illness Attacked Next Day,Supdawg,"2C-I, Cannabis & Escitalopram (Lexapro)",Jan 14 2011
,Retrospective: The Memorable Moments,Mujo Lila,H.B. Woodrose & Various,Dec 9 2010
,Hell Healing and the Sublime,Fern,Ayahuasca,Dec 9 2010
,Life Death Rebirth,NewRainbowChild,"MDMA (Ecstasy), LSD & Cannabis",Oct 7 2010
,From Beautiful to Terrifying,Hypersphere,"DMT, MDMA (Ecstasy) & LSD",Oct 6 2010
,Imprisoned Beyond the Scope of My Mind,Rio Gordon,"Cannabis, Alcohol (Beer) & Salvia divinorum (60x extract)",Sep 27 2010
,Addiction and Withdrawal,Fitful Sleeper,GHB (Xyrem),Sep 23 2010
,5-D Prison Outside of Time,Klaus,"LSD, Salvia divinorum (leaf and 10x extract) & Cannabis",Sep 22 2010
,The Realization of Love,Jackdarko,DMT,Sep 22 2010
,The Eternal Dance of Beautiful Nothingness,Quantagy,DMT & Cannabis,Sep 14 2010
,The Reckoning,AverageJoe,2C-E & Cannabis,Sep 7 2010
,A Close Encounter with Suspected DOB,Hypersphere,Unknown (Sold as LSD but suspected to be DOB),Sep 7 2010
,Homecoming Raised to the DMT Power,Phineas C,DMT & Cannabis,Sep 7 2010
,Peak Experience,Dondante,4-AcO-DMT & Psilocin (4-HO-DMT),Aug 27 2010
,Into the Abyss,lilfoot,4-ACO-DMT,Aug 27 2010
,Trapped Behind Dissolving Eyes,Bun,4-AcO-DMT,Aug 27 2010
,The Puppeteer in the Swirling Prismatic Void,Flamineo,"DMT, LSD & Cannabis",Aug 19 2010
,Detox in Three Stages,Transmigraine,"Methadone, Kratom & Ibogaine",Aug 18 2010
,Beyond the Void,Vipassana Meditator,DMT,Aug 12 2010
,Iboga Buzz,chickfromtamworth,Tabernanthe Iboga,Aug 9 2010
,Near Death? A Carbogen Experience Gone Awry,Fork,Carbogen,Aug 5 2010
,Magical Forest and Unity of Being,Dazza,Morning Glory,Jul 25 2010
,The Resolute Path of the Root Chakra,Marisa S.,Ayahuasca,Jul 8 2010
,Are You Ready for the End of Time?,Omega Elph,Ayahuasca (P. harmala & Mimosa hostilis),Jun 17 2010
,The Bad Shaman's Sapo,Erik Davis,Phyllomedusa bicolor,Jun 2 2010
,There and Back Again: A Journey to Death,Harry Shimlight,5-MeO-DMT,May 31 2010
,"Interesting, but not MDMA",crunknasty,4-Methylmethcathinone,Apr 29 2010
,Sun Dance,Mundane,Cacti - T. pachanoi (San Pedro) & Cannabis,Apr 23 2010
,Sipping on the World Syrup,Tim K,LSD,Mar 23 2010
,Exploring the Erotic Potential,Hypersphere,2C-B,Feb 13 2010
,The Enjoyable Lightness of Being,DayTripper,Mushrooms,Jan 2 2010
,Beauty's Rebirth,Bun,MDA? (sold as MDMA),Dec 15 2009
,The Mind Blank Spell,Memnoch,"Salvia divinorum (20x extract), Mushrooms & Alcohol",Oct 24 2009
,The True Power Of The Seeds & The Earth,Found,Morning Glory & Cannabis,Oct 20 2009
,Thankful That I'm Alive,Joan Miro,Bromo-Dragonfly (sold as 2C-B-Fly),Oct 12 2009
,Death Changed My Life,LucidStudies,Mescaline & Cannabis,Oct 7 2009
,Fourth Plateau Sailing,Dextro Durden,"DXM, Ginkgo biloba & Vitamin (B-Complex)",Sep 18 2009
,Difficult Discovery of Enlightenment,Guru Rimpoche,Mushrooms - P. cubensis & Cannabis,Aug 23 2009
,Reverse Tolerance Experimentation,Nikolai77,2C-I & 5-HTP,Aug 22 2009
,Fear And Loathing In Amazonia,Eskie,Ayahuasca,Aug 21 2009
,Tiny Taste = Super Senses,Backpack,2C-I,Aug 6 2009
,Life-Changing Problems,TheMerryPrankster,Nitrous Oxide & LSD,Aug 5 2009
,Not Good for Benzo Withdrawals,Nonna,Kratom,Aug 4 2009
,Not What I Was Expecting,Kina,4-Fluoroamphetamine,Jul 27 2009
,"Careful Preparation, Unexpectedly Strong",bladeofreality,Salvia divinorum (5x extract),Jul 24 2009
,Light and Pleasant,Tricky,Bromo-Dragonfly,Jul 23 2009
,A Weedy Substitute,Delawhere,"CP 55,940",Jul 21 2009
,Reckless Once is Reckless Enough,Mujo Lila,2C-E & Cannabis,Jul 19 2009
,"Teonanacatl, the Teacher of Plants",Aries,Mushrooms & Cannabis,Jul 3 2009
,Last Time I'll Ever Try It,eVitamite,Bromo-Dragonfly,Jun 29 2009
,Notes on Some Legal Highs - Heart Problems,shruming human,"Smoking Blends ('Magic Gold', 'Magic Silver', 'Dream Herbal Incense') and Spice Products ('Spice')",Jun 28 2009
,The Subtle Steamroller,Konnexion,5-MeO-DMT,Jun 16 2009
,The Transport Molecule,DavidArtist987654321,DMT (extracted from Mimosa hostilis) & Salvia divinorum,Jun 13 2009
,The Universe is a Fractal,Howard,Mushrooms,Jun 4 2009
,"The Infinite Reality Layers, Ultimate Despair",Ben,LSD,Jun 4 2009
,Nearly Identical to MJ But Longer Lasting,mixmaster,Spice Product ('Silver'),Jun 1 2009
,Why Sally? This is Madness!,Gekin,Salvia divinorum (10x extract),May 27 2009
,Rubbery Abandon,Harmoniousaccord,4-Methylmethcathinone,May 27 2009
,Vicocybin,xEdize,"Hydrocodone with Acteminophen, Mushrooms & Cannabis",May 13 2009
,Sapo: A Medicine or Nostrum?,Twix,Phyllomedusa bicolor,Apr 28 2009
,DMT Cleans My Clocks,The Reverend Raw,Mimosa tenuiflora & Syrian Rue (Anahuasca),Mar 27 2009
,Salvinorin A Journeys,Gwyllm,Salvinorin A,Mar 27 2009
,Becoming Another: Ego-Loss & Self Realization,Hello_Kosmos,LSD & Cannabis,Mar 24 2009
,Clarity & Cubism,Sofiowka,"H.B. Woodrose, Cannabis & Tobacco",Mar 20 2009
,Novocaine for the Brain,Bill,DXM,Mar 6 2009
,Beyond the Beyond,Hypersphere,"DMT, 5-MeO-DMT & Salvia divinorum",Feb 24 2009
,Accidental Overdose Panic,Reporter,2C-B,Feb 3 2009
,On The Precipice of Addiction,Cracker1234,Crack,Dec 23 2008
,A Fine Time,Jacked,2C-P,Dec 22 2008
,A Life Cycle,Halcyon,LSD,Oct 30 2008
,An Experience of Double Proportions,Aoede Musing,2C-E,Sep 25 2008
,Exotic Recreation,LucidStudies,"Cannabinoids - CP 55,940, 2C-B & Cannabis",Sep 22 2008
,Riding The Wet Horse: On Onsen Orbital Orgasm,el forestero,Hot and Cold Bathwater,Sep 6 2008
,Middle-Aged Man's Singularity,An Architect,Cacti - T. pachanoi & T. peruvianus & Cannabis,Sep 5 2008
,Should I Live as Thomas Aquinas or as Socrates?,Redleader,2C-B & Alcohol,Sep 2 2008
,Breakthrough on Bicycle Day,LucidStudies,LSD,Aug 23 2008
,"A Finite, Prepositionless Blur",Hector the Crow,DXM & Cannabis,Jul 13 2008
,Reflections in the Obsidian Fountain,Nowhereman,"4-AcO-DMT, Ketamine & Psilocin",Jul 8 2008
,Into the Ganzfeld,T. Brown,"Devices - Mind Machine, Nutmeg, Salvia divinorum (10x extract), LSD & Nitrous Oxide",Jul 8 2008
,Better than the Competition,Johnsonbiscuit,Ethylcathinone,Jul 6 2008
,When Light Exists in Darkness,Jungle Girl,Mimosa hostilis & Syrian Rue,Jul 2 2008
,"Not Life-Changing, but Cuddly",Nox,Opium,Jun 21 2008
,The Weekend At The Edge Of The Universe,Sparticus,"Mushrooms - P. cubensis, LSD, 2C-B, MDMA (Ecstasy), DMT, Ketamine, Mescaline & Cannabis",Jun 21 2008
,"Great Expectations, Wonderful Results",SoaV,MDMA & Cannabis (Hash),May 2 2008
,Suggestive of Mild Serotonin Syndrome,Karita TŠhti,MAOI (Tranylcypromine) & DXM,Apr 28 2008
,Bee and Fly Side by Side,LucidStudies,"2C-B, 2C-B-Fly & Cannabis",Apr 21 2008
,Ego-Death and Profound Insights,BigChief,LSD,Apr 17 2008
,The Swish of the Schacapa,Dillon,Ayahuasca,Mar 5 2008
,Substitute for Problem Drinking,Mouldy Grapefruit,GBL & Alcohol,Dec 15 2007
,Alien Shrooms Indeed,SoaV,4-HO-MiPT & Alcohol,Dec 6 2007
,Feels Like Rolling for Twelve Hours,Hypersphere,"MDMA, Cacti - T. bridgesii & DMT",Dec 1 2007
,The Legend of the Stuffed Banana,Uneven,LSD & Cannabis,Nov 30 2007
,First Trials with I,LucidStudies,2C-I,Nov 27 2007
,Floating Through Space,Marakhan,Mushrooms & Cannabis,Nov 26 2007
,Life Is Beautiful,Excelsior,Morning Glory,Nov 14 2007
,"Laughter, Tears, Rebirth",LucidStudies,4-AcO-DMT,Nov 12 2007
,"Hey, I Was Curious",The Monkey Mantra,PCP & Cannabis,Nov 4 2007
,'It's Fake....Let's Eat It All' (WRONG!),mr. yukk,LSD,Oct 31 2007
,To Hell and Back,DonVito,2C-I,Oct 23 2007
,4Ho The Bell Tolls,PippUK,Psilocin,Oct 19 2007
,"Death, Responsibility, and the Void",Xorkoth,Psilocin & 2C-B,Oct 19 2007
,Riding Her Voice,Elevation,"LSD, DMT & Cannabis",Oct 9 2007
,The Trip Fantastic,Z,DMT (Extracted from Mimosa tenuiflora) & Cannabis,Oct 3 2007
,A Series of Experiences,Raffles,Coca & Alcohol,Sep 29 2007
,Everything You've Wanted to Know,Augur,"Diazepam, Alcohol & DXM",Sep 23 2007
,Told Me Everything I Can't Remember,Salviafirsttry,Salvia divinorum (10x extract),Sep 8 2007
,Welcome to Goodbye Mind,MeanBastard,Salvia divinorum (20x extract),Sep 8 2007
,Journey Through the Psychedelic Universe,Steyr,"2C-E & CP 55,940",Sep 4 2007
,Vaporized Extract,Baron,Anadenanthera colubrina (extract),Aug 23 2007
,"Insanity and Sinewy, Vibrating Meat Machines",Myshkin,Salvia divinorum (10x extract),Aug 20 2007
,The Nature Of The Human Mind,Roygbiv,2C-E,Aug 17 2007
,Approaching the Other Dimension,Suave,H.B. Woodrose,Aug 15 2007
,Big Smile,Astro,MDMA (Ecstasy),Aug 10 2007
,Fuck (4 Fundamental Realities),Aidan,DOB & Sleep Deprivation,Aug 9 2007
,NMDA Antagonist Synergism,Waiting for the Sun,DXM & Nitrous Oxide,Aug 8 2007
,Beautiful Introduction to a New Substitution,Xorkoth,4-HO-MET,Jul 31 2007
,The Cycle of Life Learned and Forgotten,Onglamesh,Morning Glory (Heavenly Blue & Flying Saucer),Jul 25 2007
,This Is Real,Free Spirit,Salvia divinorum,Jul 12 2007
,My Last Days as a Meth Addict,Heidi Marie,Methamphetamine,Jul 3 2007
,The Tabbyman Can,Zen Priest,Salvia divinorum (25x extract and tincture),Jul 1 2007
,"No Gripes, No Complains, No Regrets",fisher fly,Mescaline,Jun 28 2007
,"Madam I AM Dogman, Fridge Spirit",Learner,Morning Glory,Jun 21 2007
,Set and Setting Mean Everything,Endless Sky,LSD & Cannabis,Jun 5 2007
,That Old Familiar Place,Curious1,Cacti - T. peruvianus,Jun 1 2007
,I Am Not Hardcore: Or Important Safety Tip,maison,"Alcohol, Ketamine & 1,4-butanediol",May 24 2007
,Consciousness Undulated,Fer,Capsicum spp. & Alcohol - Hard,May 23 2007
,I Thought I Was Dead,Frodel,Salvia divinorum (13x Extract),May 4 2007
,Breathing Easier After,Snipsonisha,DPT,May 2 2007
,Dynamic Systems,Exist,Cacti - T. peruvianus,Apr 30 2007
,My Sitter was a Rope,Zen Priest,Salvia divinorum,Apr 9 2007
,"Lifes a Journey, Not a Destination",ABIDAN,Cannabis,Apr 8 2007
,Zeesersow,Kuato,LSD & Cannabis,Apr 7 2007
,Message from the Mother,Do0r,Salvia divinorum,Apr 2 2007
,Skin,Unspun,Methamphetamine,Mar 26 2007
,Mimosahuasca and Psilohuasca,Hypersphere,"Ayahuasca (Mimosa hostilis & Syrian rue) , Banisteriopsis caapi &  Mushrooms (P. cubensis)",Mar 17 2007
,Complete Revolution in Thought,Eggsminuspan,4-Acetoxy-MiPT,Mar 12 2007
,"Mundane, Crappy, Poor Piperazine",Splatt,mCPP & GBL,Mar 6 2007
,The Yin Yang - A Symbol of Life,bickoma,Mushrooms - P. cubensis,Feb 26 2007
,On the Good Ship Lollipop,Matt Himself,Fentanyl (Actiq),Feb 26 2007
,Unloading Some Old Baggage,Totem,2C-T-2,Feb 23 2007
,Four Long Years,Tryphen,2C-T-2,Feb 22 2007
,There was Definitely a Pop,Photopiate,Cocaine & Ambien,Feb 22 2007
,Inducing Schizophrenia and Turning Off My Importance Meter,JGZotU,Morning Glory,Feb 15 2007
,Eyes and Cubes,ThE BluE ShoE,Cannabis,Feb 15 2007
,Late Night in the Mini Noodle,xEdize,"MDMA (Ecstacy), Ketamine & Cannabis",Feb 10 2007
,Mind Shattering,Andreas,Salvia Divinorum,Feb 9 2007
,The Experience,Daniel,Cannabis,Feb 7 2007
,Who the Hell is Ethyl?,Egor,2C-E & Various,Feb 5 2007
,Sideways World,Antheia,Salvia divinorum (5x extract),Feb 2 2007
,A Gift and a Curse,Egor,4-HO-MiPT,Jan 30 2007
,Super Dimensions and the Design of Life,5thShuriken,Mushrooms & Cannabis,Jan 30 2007
,2C-E's Retarded Half Brother,Egor,2C-T-4,Jan 26 2007
,Not What I Was Expecting,Chloglith,Mushrooms & Cannabis,Jan 22 2007
,Hinduistic Divination,Baker,Mushrooms - P. cubensis,Jan 22 2007
,Strings 'N' Things,Psilo707,Ketamine,Jan 21 2007
,Implacable Pulchritudinous Horror,Truckson 6,DMT & Syrian Rue,Jan 20 2007
,Rush and Glow,Redleader,Cocaine,Jan 19 2007
,Delirium,Joebro,LSD & Diazepam,Jan 19 2007
,A Touch From The Goddess,Atomic006,DMT,Jan 19 2007
,Choreboy Made a Snowman of Me,Choregirl,Crack,Jan 17 2007
,"A Week in the Woods, a Night of ?&!...",TheWoodsman,Mushrooms - P. cubensis,Jan 16 2007
,"Just Like MDMA, Then...",Double Trouble,Methylone,Jan 14 2007
,One Very Odd Night,Silent Evil,Diphenhydramine,Jan 13 2007
,Found the 'On' Switch in My Soul,allotrope,Ibogaine,Jan 12 2007
,WormX Review,Flop,Absinthe,Jan 12 2007
,Empathy and Insight,Will,Mushrooms & Cannabis,Jan 5 2007
,Psilohuasca Healing,Hypersphere,"Banisteriopsis caapi, Psilocybe cubensis & Cannabis",Jan 4 2007
,3 Trial Dosages and Reactions,Xorkoth,AET,Dec 16 2006
,Technical Overdose,Rainz3d,Piperazines - mCPP,Dec 14 2006
,Past the Threshold - Does Not Compute,Hippie Craque,Salvia Divinorum 5x,Dec 11 2006
,Unidentified Flying Subject,PippUK,4-AcO-DMT,Dec 1 2006
,A 'Heroic' Tale: The Rice Cake Trip,Anonym Trismegistus,Mushrooms - P. cubensis (mycelium),Nov 28 2006
,Dying To Get High,Shercatmeow,Methamphetamine,Nov 12 2006
,My Wealth of Knowledge,E. Gates,DXM,Oct 26 2006
,My General View,Tuluvas,2C-E,Oct 25 2006
,Rapturous Visions and Apologizing to Dirt,Nowhereman,2C-E,Oct 25 2006
,Preconceptions of the Universe Unfold,Baker,2C-I,Oct 15 2006
,Existing As Pure Thought,MS,Salvia Divinorum (5x extract),Sep 26 2006
,Breathtaking with Some Physical Discomfort,Amethyst Deceiver,2C-B,Sep 20 2006
,My Mind/Imagination Is All that Exists,Duff,Mushrooms - P. subaeruginosa & Salvia divinorum (10x extract),Sep 14 2006
,Experiences and Unguided Telepathy,Tantric,Dizocilpine,Sep 1 2006
,Ascending Through the Crossroads of Twilight,Xorkoth,DOC,Aug 9 2006
,First Third Plateau Experience,Keeper,DXM,Aug 6 2006
,Better Living Through Synergy,Pashasan,2C-T-2 & Syrian Rue,Jul 21 2006
,An Amazing Night of Connections,Xorkoth,"2C-B-Fly, Cocaine & Cannabis",Jul 3 2006
,A Case of Mistaken Identity,pharmofile,DOI,Jun 29 2006
,Two Years and Zero Regrets,EF 1610,Modafinil (Modalert),Jun 29 2006
,Beauty of Form,Naughty Fairies,Mushrooms & 2C-E,Jun 15 2006
,Take the Third Toke!,Bong Man,DMT,May 31 2006
,Reptilian Collective Consciousness,Xorkoth,DOC,May 9 2006
,Jesus Synchronicity versus Matter,Existopanomus,Mushrooms,May 9 2006
,How Ironic,Drew,Amphetamines (Dexedrine) & Hydromorphone (Dilaudid),May 7 2006
,"Intense Challenges, Amazing Effects",Shruming Human,Fasting,May 3 2006
,"One Year, from First Hit to Now",X,Methamphetamine,Apr 30 2006
,The Insidious Threat,Zool,Opioids,Apr 30 2006
,A Whole Different Book,Anonymous,LSD,Apr 21 2006
,The Rematch,Pashasan,2C-T-2 & Syrian Rue,Apr 17 2006
,What If I Can't Come Back?,Faerie,Salvia divinorum (10x extract),Apr 7 2006
